Channel ID,Sign Language,Spoken Language,Name,Source,Content type,License,Creator Correspondence,Videos,Video Length,File Size,Subtitles,Sentences,Tokens,Characters,From,To,Subtitles Type
819,LSA,Argentinian,Aprender entre rios,https://www.youtube.com/playlist?list=PLYmsvK7C0G60KZqZr6rFhvHAId8PvQoOx,Education,CC,yes,121,05:55:53,3.3594276132062078,6316,0,36398,201226,2015-07-31,2022-10-05,auto
829,LSA,Argentinian,Universidad Nacional de Entre Ríos - Canal 20,https://www.youtube.com/playlist?list=PLYmsvK7C0G608-gxf7QgVJyhTJTSk7GdC,Education,CC,,69,05:34:02,3.649205708876252,0,0,0,0,2014-01-10,2022-10-05,auto
831,LSA,Argentinian,Casa Rosada - República Argentina,https://www.youtube.com/playlist?list=PLYmsvK7C0G6159NNBDstklzLWQNSmQWOT,Government,Public domain,yes,116,67:24:36,18.704871005378664,74164,0,420512,2354486,2010-12-20,2023-12-01,auto
805,LSCh,Chilean,SaludResponde,https://www.youtube.com/@SaludRespondeMinsal,Health,Youtube standard,yes,17,00:12:45,0.10543876234441996,256,0,1503,8469,2020-04-08,2022-07-20,auto
808,LSCh,Chilean,Lense Biobio Chile,https://www.youtube.com/@LenseBiobioChile,Education,Youtube standard,yes,36,14:19:59,3.9650965789332986,13262,0,66151,344427,2020-03-26,2022-08-08,auto
820,LSCh,Chilean,BCNChile,https://www.youtube.com/playlist?list=PLGTZ-hGEGA9dpM6eMdAa-9F-Bq0Um9OKj,Government,CC,yes,20,00:27:04,0.20781731233000755,523,0,2872,17520,2021-03-19,2022-04-04,auto
821,LSCh,Chilean,BCNChile,https://www.youtube.com/playlist?list=PLGTZ-hGEGA9eG--tih9hmvCkhLM_q9wC2,Government,CC,yes,203,34:27:45,17.14087370876223,0,0,0,0,2013-05-09,2022-10-13,hardcoded
802,LSCh,Chilean,Prensa Presidencia,https://www.youtube.com/@PrensaPresidenciaDeChile,Government,CC,,7,00:48:05,0.3337314696982503,1218,0,7139,42676,2015-12-31,2017-12-31,auto
824,LSCh,Chilean,Cauquenesnet La Web de Cauquenes,https://www.youtube.com/playlist?list=PLYmsvK7C0G60_bOj05XW7kVNkDGmopAMH,News,CC,pending,12,01:26:27,1.0448417514562607,1623,0,9003,47814,2014-01-12,2023-08-01,auto
825,LSCh,Chilean,Timeline Antofagasta,https://www.youtube.com/playlist?list=PLYmsvK7C0G63AS9d_SdoEbZUcX-XvbSb1,News,CC,yes,20,11:05:29,6.685398010537028,13547,0,79802,454352,2021-04-25,2022-12-10,auto
828,LSCh,Chilean,Terrenos de Chile,https://www.youtube.com/playlist?list=PLYmsvK7C0G62bN0SZR6Zz48M5vIKthhRP,Government,CC,yes,64,32:01:25,11.122003178112209,40618,0,245491,1401142,2019-09-27,2021-12-19,auto
812,LSC,Colombian,Fundesor,https://www.youtube.com/playlist?list=PLYmsvK7C0G61gPQmJUmwWRb9JI1hNpeG4,Social,Youtube standard,yes,13,00:22:58,0.20132380537688732,0,0,0,0,2015-07-23,2016-09-27,hardcoded
804,LSC,Colombian,FENASCOL,https://www.youtube.com/@CanalFenascol,Social,CC,pending,617,87:51:25,32.74283950962126,105280,0,610678,3472239,2011-05-08,2023-05-01,auto
816,LSC,Colombian,Ayudas Para Todos,https://www.youtube.com/playlist?list=PLI7rDimYXOdhyty-lEXsxQgiLfYKnnqmY,Education,Youtube standard,yes,12,00:52:55,0.36576833203434944,865,0,4363,23569,2013-07-16,2020-09-23,auto
818,LSC,Colombian,Ministerio TIC Colombia,https://www.youtube.com/playlist?list=PLYmsvK7C0G63UWtIxJ4rbGLV2GhvwOxJc,Government,CC,yes,50,04:47:24,3.299793142825365,5951,0,34627,198409,2013-05-11,2021-08-24,auto
827,LSC,Colombian,Presidencia de la República - Colombia,https://www.youtube.com/playlist?list=PLYmsvK7C0G62-Gk_lJoVSFzzkCvvl7aRo,Government,Youtube standard,yes,135,24:21:05,14.728556019254029,31877,0,184400,1074708,2013-02-10,2022-12-23,auto
803,LESCO,Costa rican,Presidencia de la República,https://www.youtube.com/playlist?list=PLYmsvK7C0G63JA-WvioJTd1am72DKMaiP,Government,Youtube standard,yes,440,182:45:58,52.84749361407012,0,0,0,0,2018-05-23,2022-12-31,hardcoded
823,LESCO,Costa rican,OndaUNED,https://www.youtube.com/playlist?list=PLYmsvK7C0G621BxjAxNgYfVs8UfObOVIG,News,CC,yes,27,12:07:10,2.447958723641932,17038,0,104322,592683,2014-09-25,2022-05-15,auto
