ID,Video Name,YT-ID,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
1,"1. Sitzung, TOP 1： Eröffnung der Sitzung durch den Alters­präsidenten ",gQAkjwQ1U2M,1280.0 x 720.0,2551.96,25,63799,2023-03-21,366.57,572,266,4891,31102
2,"1. Sitzung, TOP 2： Beschluss­fassung über Geschäfts­ordnungen ",OU5gyx1oG2c,1280.0 x 720.0,2107.96,25,52699,2023-03-21,239.66,539,245,4882,29811
3,"1. Sitzung, TOP 3： Wahl der Präsidentin­⧸des Präsidenten ",aZX-iPTEHJs,1280.0 x 720.0,4467.96,25,111699,2023-03-21,607.79,419,65,3490,19926
4,"1. Sitzung, TOP 4： Amtsübernahme durch die Präsidentin ",MKGZbA29AmI,1280.0 x 720.0,1209.96,25,30249,2023-03-21,166.14,259,132,2237,13590
5,"1. Sitzung, TOP 5-7： Festlegung der Zahl und Wahl der Stell­ver­treterinnen­⧸Stell­vertreter der Pr ",nF6eF_xgKiw,1280.0 x 720.0,9773.96,25,244349,2023-03-21,811.26,220,138,1782,10709
6,"212. Sitzung, TOP 10, ZP 6-8： Globale Bekämpfung von COVID-19 ",7y7Ye1NbUNs,1280.0 x 720.0,4929,25,123225,2023-03-21,675.01,1272,640,11174,71488
7,"212. Sitzung, ZP 5： Corona-Selbst­tests ",FGB6EuFgp94,1280.0 x 720.0,4590,25,114750,2023-03-21,524.91,1227,604,11113,67790
8,"213. Sitzung, TOP 18： Weiter­entwicklung der Gesundheits­versorgung ",F4wC7h9m2yc,1280.0 x 720.0,4423,25,110575,2023-03-21,513.87,1140,535,9840,64350
9,"213. Sitzung, TOP 19： Direkte Demokratie auf Bundes­ebene ",Pmvdx1E4L0A,1280.0 x 720.0,4741,25,118525,2023-03-21,547.74,1233,601,11143,70734
10,"213. Sitzung, TOP 22, ZP 18： Pandemie­bedingte Wirtschafts­hilfen für Unternehmen ",_zWNEwcRr58,1280.0 x 720.0,4535,25,113375,2023-03-21,628.06,1245,636,11337,70322
11,"215. Sitzung, TOP 11： Wirtschafts­hilfen, Kurzarbeiter­geld ",-3BlYuLIpD8,1280.0 x 720.0,4708,25,117700,2023-03-21,543.71,1271,667,11589,71346
12,"215. Sitzung, TOP 8, ZP 3： Epidemische Lage von nationaler Tragweite ",sfpy3avPdEw,1280.0 x 720.0,5122,25,128050,2023-03-21,594,1280,643,11386,72341
13,"215. Sitzung, TOP 9： Wirtschafts­politik - Lock­down ",uIbcQTWRbk8,1280.0 x 720.0,5045,25,126125,2023-03-21,603.89,1390,827,12928,79475
14,"228. Sitzung, ZP 22-24： Klima&shy;schutz, EEG ",BShfQ9nf0Cc,1280.0 x 720.0,5274,25,131850,2023-03-21,721.66,1402,838,12851,78745
15,"237. Sitzung, TOP 39： Versteuerung von Übergewinnen, Investitions&shy;pflicht ",hNKsqvQ1m_s,1280.0 x 720.0,4185,25,104625,2023-03-21,569.96,1166,603,10606,65764
16,"60. Sitzung, TOP 7： Bürgergeld-Gesetz, Sozialer Arbeits­markt ",R9bmWy8d_Gs,1280.0 x 720.0,5654.12,25,141353,2023-03-21,817.34,1472,810,13861,83341
17,Antrag für mehr Tempo in Bereichen der Barriere­freiheit überwiesen ,zAsT2JbDzgk,1280.0 x 720.0,2896,25,72400,2023-03-21,354.91,767,390,7029,44171
18,"60. Sitzung, TOP 17： Strom- und Gas­sperren, Gas- und Strom­preis­deckel ",2BfQpeS9hJ0,1280.0 x 720.0,4592,25,114800,2023-03-21,568.25,1318,691,12084,72910
