ID,Video Name,Release Date,Webpage URL,Video URL,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
1,heute journal-heute journal vom 18. Juni 2022 (Gebärdensprache)-0774370780,2022-06-18,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-18-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220618_2245_sendung_hjo_dgs/1/220618_2245_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"847,08",25,21177,08/01/2022,52.77,259,147,1927,12849
2,heute journal-heute journal vom 19. Juni 2022 (Gebärdensprache)-1380200344,2022-06-19,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-19-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220619_2145_sendung_hjo_dgs/1/220619_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,1703,25,42575,08/01/2022,116.65,500,290,3616,24612
3,heute journal-heute journal vom 20. Juni 2022 (Gebärdensprache)-0940206506,2022-06-20,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-20-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220620_2210_sendung_hjo_dgs/1/220620_2210_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1760,04",25,44001,08/01/2022,105.08,585,340,4007,27507
4,heute journal-heute journal vom 21. Juni 2022 (Gebärdensprache)-1797647318,2022-06-21,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-21-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220621_2145_sendung_hjo_dgs/1/220621_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1859,64",25,46491,08/01/2022,109.86,571,306,3851,27075
5,heute journal-heute journal vom 22. Juni 2022 (Gebärdensprache)-0628650648,2022-06-22,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-22-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220622_2145_sendung_hjo_dgs/1/220622_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1692,16",25,42304,08/01/2022,104.35,478,288,3367,23204
6,heute journal-heute journal vom 23. Juni 2022 (Gebärdensprache)-0978767914,2022-06-23,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-23-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220623_2145_sendung_hjo_dgs/5/220623_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1801,4",25,45035,08/01/2022,106.16,588,326,4088,27556
7,heute journal-heute journal vom 24. Juni 2022 (Gebärdensprache)-0056133220,2022-06-24,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-24-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220624_2200_sendung_hjo_dgs/1/220624_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1839,36",25,45984,08/01/2022,108.99,561,325,3942,27354
8,heute journal-heute journal vom 25. Juni 2022 (Gebärdensprache)-0209395564,2022-06-25,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-25-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220625_2315_sendung_hjo_dgs/1/220625_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"899,32",25,22483,08/01/2022,51.92,274,143,1847,12723
9,heute journal-heute journal vom 26. Juni 2022 (Gebärdensprache)-0247631264,2022-06-26,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-26-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220626_2145_sendung_hjo_dgs/1/220626_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1800,8",25,45020,08/01/2022,103.75,477,266,3444,23000
10,heute journal-heute journal vom 27. Juni 2022 (Gebärdensprache)-0921365406,2022-06-27,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-27-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220627_2145_sendung_hjo_dgs/1/220627_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1676,12",25,41903,08/01/2022,108.85,508,246,3420,23618
11,heute journal-heute journal vom 28. Juni 2022 (Gebärdensprache)-2090362076,2022-06-28,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-28-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220628_2145_sendung_hjo_dgs/1/220628_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1767,2",25,44180,08/01/2022,106.16,542,294,3774,25516
12,heute journal-heute journal vom 29. Juni 2022 (Gebärdensprache)-1035608550,2022-06-29,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-29-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220629_2145_sendung_hjo_dgs/1/220629_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1801,2",25,45030,08/01/2022,107.06,607,334,4022,28007
13,heute journal-heute journal vom 30. Juni 2022 (Gebärdensprache)-1087485586,2022-06-30,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-30-juni-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/06/220630_2145_sendung_hjo_dgs/1/220630_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1833,4",25,45835,08/01/2022,112.07,516,292,3495,24217
14,heute journal-heute journal vom 1. Juli 2022 (Gebärdensprache)-1603685883,2022-07-01,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-1-juli-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/07/220701_2200_sendung_hjo_dgs/1/220701_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1856,6",25,46415,08/01/2022,115.59,583,327,4124,28489
15,heute journal-heute journal vom 2. Juli 2022 (Gebärdensprache)-1450423539,2022-07-02,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-2-juli-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/07/220702_2315_sendung_hjo_dgs/1/220702_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"869,2",25,21730,08/01/2022,54.19,247,155,1730,11824
16,heute journal-heute journal vom 3. Juli 2022 (Gebärdensprache)-1907450367,2022-07-03,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-3-juli-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/07/220703_2145_sendung_hjo_dgs/1/220703_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1586,36",25,39659,08/01/2022,110.58,464,240,3297,22590
17,heute journal-heute journal vom 4. Juli 2022 (Gebärdensprache)-0738453697,2022-07-04,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-4-juli-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/07/220704_2145_sendung_hjo_dgs/1/220704_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1727,48",25,43187,08/01/2022,99,494,310,3512,23973
18,heute journal-heute journal vom 5. Juli 2022 (Gebärdensprache)-0430542973,2022-07-05,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-5-juli-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/07/220705_2145_sendung_hjo_dgs/1/220705_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1703,28",25,42582,08/01/2022,113.46,474,248,3244,22375
