ID,Channel ID,Sign Language,Spoken Language,Video Name,Release Date,Webpage URL,Video URL,External Subtitles URL,Resolution,Cropped,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles Type,Subtitles,Sentences,Tokens,Characters
1,805,LSCh,Chilean,Prevención de enfermedades transmitidas por los alimentos,2022-05-12,https://www.youtube.com/watch?v=gaaTnnYwboY,,,720p,yes,30,24,720,2023-01-04,5.020464897155762,auto,15,,90,577
2,805,LSCh,Chilean,Cuídate del Hanta no te descuides,2022-01-12,https://www.youtube.com/watch?v=LaW3YE4whzI,,,720p,yes,30,24,720,2023-01-04,6.46854305267334,auto,13,,80,493
3,805,LSCh,Chilean,VIHSIDA Grandes Tiempos para Cuidarse,2022-01-12,https://www.youtube.com/watch?v=suHIQEv7Pqo,,,720p,yes,73,24,1752,2023-01-04,8.865680694580078,auto,21,,108,555
4,805,LSCh,Chilean,Nuevo Plan Paso a Paso,2022-07-20,https://www.youtube.com/watch?v=CKAKmGv1cyo,,,720p,yes,40,24,960,2023-01-04,8.866183280944824,auto,15,,104,559
5,805,LSCh,Chilean,Campaña Influenza en lengua de señas chilena,2022-03-23,https://www.youtube.com/watch?v=ZNtgLe1GOP4,,,360p,yes,66,30,1980,2023-01-04,3.234145164489746,auto,21,,107,589
6,805,LSCh,Chilean,Video síntomas de cáncer de mama en lengua de señas,2021-10-27,https://www.youtube.com/watch?v=ZnHt884PjFg,,,360p,yes,71,30,2130,2023-01-04,3.5869874954223633,auto,22,,103,576
7,805,LSCh,Chilean,Sigamos Cuidándonos,2021-08-16,https://www.youtube.com/watch?v=hIGJsyA_vrk,,,720p,yes,11,30,330,2023-01-04,0.6074895858764648,auto,3,,16,92
8,805,LSCh,Chilean,Yo me Vacuno porque me cuido y con ello te cuido,2021-08-16,https://www.youtube.com/watch?v=P4dpoxbWs74,,,720p,yes,30,24,720,2023-01-04,4.321147918701172,auto,13,,98,510
9,805,LSCh,Chilean,#YoMeVacuno porque las vacunas salvan vidas,2021-08-16,https://www.youtube.com/watch?v=vayCiPdpT98,,,720p,yes,30,23,690,2023-01-04,5.295267105102539,auto,13,,96,503
10,805,LSCh,Chilean,Campaña Yo Me Cuido el Doble (Emmanuel) #SigamosCuidándonos,2021-10-08,https://www.youtube.com/watch?v=AynovNfsbvM,,,720p,yes,29,30,870,2023-01-04,6.002161026000977,auto,5,,22,100
11,805,LSCh,Chilean,Campaña Yo Me Cuido el Doble (Luis Fonsi) #SigamosCuidándonos A Un Metrito,2021-10-08,https://www.youtube.com/watch?v=tgfEE7alXvM,,,720p,yes,29,30,870,2023-01-04,6.204949378967285,auto,8,,45,256
12,805,LSCh,Chilean,Campaña Yo Me Cuido el Doble (Luis Fonsi) #SigamosCuidándonos,2021-10-08,https://www.youtube.com/watch?v=ES038-Gx0q8,,,720p,yes,29,30,870,2023-01-04,6.1547136306762695,auto,8,,45,256
13,805,LSCh,Chilean,Residencia Sanitarias,2020-08-28,https://www.youtube.com/watch?v=2WUvQr1UkMM,,,720p,yes,30,30,900,2023-01-04,3.129633903503418,auto,12,,79,476
14,805,LSCh,Chilean,Campaña “Cuenta hasta 3” para protegerte del COVID19,2020-08-20,https://www.youtube.com/watch?v=eqNitzIFrnE,,,720p,yes,12,24,288,2023-01-04,1.1846504211425781,auto,5,,31,163
15,805,LSCh,Chilean,Instrucciones para videollamada y atención en Lengua de Señas Chilena vía Salud Responde,2020-04-08,https://www.youtube.com/watch?v=QRGkiB5skWI,,,720p,yes,86,30,2580,2023-01-04,14.842548370361328,auto,25,,145,860
16,805,LSCh,Chilean,Síntomas del COVID19 en lengua de señas chilena,2020-07-28,https://www.youtube.com/watch?v=78GmvUBbbVg,,,720p,yes,69,25,1725,2023-01-04,9.509486198425293,auto,23,,138,797
17,805,LSCh,Chilean,Prevención del COVID19 vía lengua de señas Chilena,2020-07-28,https://www.youtube.com/watch?v=TKSK2O_emdc,,,720p,yes,100,25,2500,2023-01-04,14.675240516662598,auto,34,,196,1107
7,808,LSCh,Chilean,"Lense Biobio, caso de éxito.",2022-08-08,https://www.youtube.com/watch?v=kUptD298PPY,,,720p,no,226,24,5424,2023-01-05,49.45775604248047,auto,83,,483,2778
10,808,LSCh,Chilean,"Clase 10, Lengua de Señas Chilena. Números y lugares",2022-06-26,https://www.youtube.com/watch?v=iYOJOqJaaSs,,,720p,no,710,30,21300,2023-01-05,50.18340873718262,auto,186,,841,4430
13,808,LSCh,Chilean,"Capítulo 9, los números y acciones en Lengua de Señas Chilena.",2022-05-15,https://www.youtube.com/watch?v=l65g-eMqNTM,,,720p,no,502,30,15060,2023-01-05,35.07022476196289,auto,130,,599,2972
14,808,LSCh,Chilean,"Capitulo 8, los días de la semana y meses en Lengua de Señas Chilena",2022-02-05,https://www.youtube.com/watch?v=d9pGMJH5Qs8,,,720p,no,650,30,19500,2023-01-05,39.29182720184326,auto,168,,801,3976
15,808,LSCh,Chilean,"Capítulo 7, las respuestas en Lengua de Señas Chilena",2022-04-25,https://www.youtube.com/watch?v=rJ8eMXtXvYE,,,720p,no,703,30,21090,2023-01-05,46.12075138092041,auto,170,,811,4084
16,808,LSCh,Chilean,"Capítulo 6, las preguntas en Lengua de Señas Chilena",2022-04-23,https://www.youtube.com/watch?v=J1oAYm5oE7k,,,720p,no,764,30,22920,2023-01-05,51.11073398590088,auto,182,,900,4591
19,808,LSCh,Chilean,Capítulo 3 La Familia en Lengua de Señas Chilena,2022-06-03,https://www.youtube.com/watch?v=9237SZo-haE,,,720p,no,626,25,15650,2023-01-05,43.79034900665283,auto,153,,664,3332
22,808,LSCh,Chilean,"Capitulo 5, Los animales en Lengua de Señas Chilena",2022-02-22,https://www.youtube.com/watch?v=9e4s_OTcUeg,,,720p,no,822,25,20550,2023-01-05,69.25056552886963,auto,216,,958,4911
23,808,LSCh,Chilean,"Capitulo 4, Los pronombres y números en Lengua de Señas",2022-02-21,https://www.youtube.com/watch?v=eIepZJh844A,,,720p,no,698,25,17450,2023-01-05,54.94218635559082,auto,171,,804,4043
25,808,LSCh,Chilean,"Capítulo 1, El Alfabeto manual en Lengua de Señas Chilena",2022-02-14,https://www.youtube.com/watch?v=LfLP7vs4PEs,,,720p,no,740,25,18500,2023-01-05,52.29348659515381,auto,158,,684,3324
30,808,LSCh,Chilean,Niño vende un palo-Lengua de Señas Chilena,2021-10-11,https://www.youtube.com/watch?v=Ux86Tt8dIOM,,,720p,no,145,30,4350,2023-01-05,22.139114379882812,auto,45,,176,851
31,808,LSCh,Chilean,Charla  Introducción a la lengua de señas  lo que debes saber antes de aprenderla,2021-10-26,https://www.youtube.com/watch?v=VXk4KYhsE4o,,,720p,no,4028,30,120840,2023-01-05,339.370512008667,auto,1454,,8332,44073
32,808,LSCh,Chilean,"Clase 7 Lengua de Señas Chilena, Lense Biobio",2021-10-23,https://www.youtube.com/watch?v=BW0YFlXShSs,,,720p,no,3076,25,76900,2023-01-05,239.72479629516602,auto,636,,2941,15047
33,808,LSCh,Chilean,"Clase 1 Lengua de Señas, Lense Biobio",2021-10-23,https://www.youtube.com/watch?v=4hffvpcKNY0,,,720p,no,1995,25,49875,2023-01-05,159.3965425491333,auto,522,,2692,13803
34,808,LSCh,Chilean,"Fiestas patrias, vocabulario en Lengua de Señas Chilena",2021-09-18,https://www.youtube.com/watch?v=xQFeka76cqE,,,720p,no,107,30,3210,2023-01-05,14.713003158569336,auto,2,,1,7
35,808,LSCh,Chilean,"Clase 5 Lengua de Señas Chilena, Lense Biobio",2021-08-24,https://www.youtube.com/watch?v=iy6kKWW64k8,,,720p,no,2633,25,65825,2023-01-05,239.42082691192627,auto,570,,2512,12472
37,808,LSCh,Chilean,"Clase 4 Lengua de Señas Chilena, Lense Biobio",2021-07-22,https://www.youtube.com/watch?v=UWoti-sGvKg,,,720p,no,3096,25,77400,2023-01-05,226.37066459655762,auto,775,,3979,20422
38,808,LSCh,Chilean,"Clase 3 Lengua de Señas Chilena, Municipalidad de Tucapel",2021-07-21,https://www.youtube.com/watch?v=QRWmPX_c3_8,,,720p,no,2611,25,65275,2023-01-05,176.22135162353516,auto,518,,2487,12551
39,808,LSCh,Chilean,"Lengua de Señas Chilena, clase 2",2021-06-30,https://www.youtube.com/watch?v=Ls-MueOnoqI,,,720p,no,2093,25,52325,2023-01-05,195.30495643615723,auto,315,,1718,8755
40,808,LSCh,Chilean,"Clase numero 6, Taller lengua de Señas para la comunidad",2021-06-25,https://www.youtube.com/watch?v=W2jVCYTyEh4,,,720p,no,2947,25,73675,2023-01-05,210.77116680145264,auto,677,,3283,17091
43,808,LSCh,Chilean,"Save Ralph, Lengua de Señas Chilena",2021-04-14,https://www.youtube.com/watch?v=-SG0xTwNT9Y,,,720p,no,214,30,6420,2023-01-05,21.55141258239746,auto,60,,365,1846
45,808,LSCh,Chilean,"Rol del CoEducador Sordo en educación, Webinar",2021-03-29,https://www.youtube.com/watch?v=HRTQfbRm_Jo,,,720p,no,1777,25,44425,2023-01-05,155.66898155212402,auto,656,,3998,22259
47,808,LSCh,Chilean,"Experiencias en educación, rol del Fonoaudiólogo",2021-01-02,https://www.youtube.com/watch?v=8bVT2ZVcQ2U,,,720p,no,731,25,18275,2023-01-05,91.21831035614014,auto,290,,1733,9965
48,808,LSCh,Chilean,Mi experiencia con la Comunidad de Personas Sordas -Gisela Garcés,2021-01-25,https://www.youtube.com/watch?v=7er5Smx3Z8k,,,720p,no,396,30,11880,2023-01-05,46.31315040588379,auto,130,,876,4638
51,808,LSCh,Chilean,"Taller Lengua de Señas, clase 4",2020-12-25,https://www.youtube.com/watch?v=iTPJMGoEsVQ,,,360p,no,3403,30,102090,2023-01-05,129.81304740905762,auto,861,,3928,21053
58,808,LSCh,Chilean,"Taller lengua de Señas, clase 3",2020-10-23,https://www.youtube.com/watch?v=sZ8NBDHn7Rw,,,720p,no,3518,30,105540,2023-01-05,223.9076919555664,auto,840,,4052,20176
60,808,LSCh,Chilean,"#GobiernoEnTerreno Taller lengua de Señas, clase 2",2020-10-19,https://www.youtube.com/watch?v=phR5r53xMJw,,,720p,no,3364,25,84100,2023-01-05,237.72718715667725,auto,878,,4084,21064
